SG_13_2_Mean_P,SG_3_3_Mean_P,SG_5_3_Power,SG_11_4_Power,SG_11_2_Mean_P,SG_9_2_Mean_P,SG_3_4_Mean_P,SG_9_4_Mean_P,SG_9_4_Power,SG_13_4_Power,SG_5_2_Mean_P,SG_9_2_Power,Width,Original_Power,SG_5_3_Mean_P,SG_7_2_Power,SG_5_4_Mean_P,SG_3_2_Mean_P,SG_5_4_Power,SG_13_3_Mean_P,SG_7_2_Mean_P,SG_9_3_Mean_P,SG_3_2_Power,SG_11_2_Power,SG_11_3_Mean_P,Amplitude,SG_7_3_Power,SG_11_4_Mean_P,SG_3_4_Power,Original_Mean_P,SG_13_2_Power,SG_9_3_Power,SG_13_4_Mean_P,SG_11_3_Power,SG_7_4_Mean_P,SG_5_2_Power,SG_13_3_Power,SG_7_3_Mean_P,SG_7_4_Power,SG_3_3_Power
0.6912,0.1653,0.348,0.234,0.6167,0.5324,0.1779,0.3529,0.278,0.205,0.3196,0.16,10.0,0.491,0.2953,0.224,0.1732,0.1734,0.473,0.7009,0.4396,0.5503,0.479,0.098,0.6191,24,0.214,0.4126,0.468,0.1744,0.055,0.136,0.4594,0.082,0.2701,0.308,0.051,0.4352,0.377,0.488
0.5532,0.0857,0.583,0.452,0.4605,0.3748,0.0896,0.174,0.51,0.369,0.1652,0.296,10.0,0.689,0.1533,0.42,0.0836,0.0846,0.698,0.5674,0.2665,0.3554,0.69,0.2,0.4799,28,0.433,0.2504,0.689,0.0902,0.131,0.298,0.2984,0.196,0.1243,0.573,0.137,0.255,0.63,0.685
0.9063,0.4951,0.013,0.013,0.8913,0.8556,0.5031,0.7751,0.012,0.009,0.7395,0.005,12.0,0.046,0.7401,0.009,0.5047,0.4975,0.035,0.9018,0.8307,0.8646,0.056,0.004,0.8825,0,0.01,0.8015,0.048,0.5015,0.003,0.002,0.8359,0.005,0.6941,0.015,0.004,0.8134,0.022,0.046
0.9038,0.4853,0.011,0.005,0.8776,0.8626,0.5047,0.7696,0.01,0.006,0.7417,0.005,12.0,0.052,0.7487,0.01,0.4877,0.5176,0.064,0.9019,0.8203,0.8682,0.043,0.005,0.882,4,0.015,0.8141,0.054,0.4976,0.005,0.005,0.8482,0.005,0.7088,0.016,0.004,0.8132,0.012,0.054
0.8907,0.4762,0.026,0.012,0.8833,0.8572,0.485,0.7584,0.02,0.01,0.714,0.004,12.0,0.065,0.7269,0.011,0.4954,0.4769,0.042,0.9022,0.7944,0.8454,0.044,0.003,0.8629,8,0.005,0.8046,0.05,0.477,0.004,0.001,0.829,0.006,0.6923,0.013,0.001,0.8197,0.015,0.061
0.8937,0.4544,0.023,0.018,0.8516,0.8364,0.4662,0.7299,0.019,0.009,0.7055,0.01,12.0,0.089,0.7115,0.016,0.4657,0.4531,0.079,0.8783,0.7784,0.8303,0.072,0.004,0.861,12,0.01,0.7828,0.069,0.4626,0.006,0.01,0.8259,0.011,0.6615,0.027,0.01,0.7882,0.023,0.077
0.8615,0.3916,0.049,0.029,0.8341,0.7942,0.3901,0.6789,0.036,0.026,0.6328,0.019,12.0,0.128,0.6375,0.028,0.4079,0.4049,0.129,0.8597,0.7227,0.7865,0.122,0.014,0.8299,16,0.027,0.7197,0.128,0.3921,0.014,0.026,0.7514,0.018,0.5877,0.059,0.011,0.7224,0.066,0.116
0.7913,0.3117,0.137,0.088,0.762,0.7119,0.3054,0.5242,0.127,0.062,0.5225,0.054,12.0,0.218,0.5103,0.077,0.3118,0.3193,0.231,0.8175,0.6346,0.6988,0.231,0.028,0.7419,20,0.074,0.6033,0.225,0.3296,0.025,0.047,0.6618,0.033,0.4725,0.126,0.021,0.6103,0.142,0.235
0.6765,0.2171,0.268,0.194,0.6437,0.5626,0.2126,0.4102,0.24,0.132,0.3853,0.107,12.0,0.422,0.3664,0.178,0.2214,0.2245,0.375,0.7115,0.4768,0.5717,0.371,0.077,0.6378,24,0.167,0.4597,0.392,0.1962,0.061,0.117,0.5339,0.09,0.3241,0.261,0.063,0.4927,0.31,0.398
0.5693,0.1137,0.463,0.361,0.4704,0.4229,0.1161,0.2347,0.443,0.31,0.2355,0.224,12.0,0.591,0.2193,0.345,0.1328,0.1293,0.577,0.5681,0.3005,0.4049,0.587,0.189,0.4973,28,0.356,0.3031,0.618,0.1187,0.134,0.256,0.3575,0.182,0.1936,0.449,0.153,0.3015,0.502,0.611
